OGOrthogroup	GNM1107	GNM1232	GNM1382	GNM1383	GNM1670	GNM1683	GNM225	GNM3434	GNM356	GNM358	GNM3890	GNM425	GNM4440	GNM50571	GNM565	GNM694	GNM742	GNM746	GNM747
OG0001015	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
OG0001016	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
OG0001017	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
OG0001018	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
OG0001019	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
OG0001020	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
OG0001021	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
OG0001022	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
OG0001023	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
OG0001024	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
OG0001025	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
OG0001026	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
OG0001027	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
OG0001028	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
OG0001029	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
OG0001030	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
OG0001031	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
OG0001032	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
OG0001033	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
OG0001034	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
OG0001035	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
OG0001036	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
OG0001037	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
OG0001038	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
OG0001039	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
OG0001040	1	1	1	1	0	0	1	0	0	0	0	1	0	0	1	1	1	1	1
OG0001041	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
OG0001042	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
OG0001043	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1
OG0001044	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
OG0001045	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
OG0001046	1	2	1	1	0	0	1	0	0	0	0	1	0	0	2	2	1	2	2
OG0001047	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
OG0001048	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
OG0001049	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
OG0001050	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
OG0001051	1	1	1	1	1	1	1	1	1	1	1	2	1	1	2	1	1	2	1
OG0001052	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
OG0001053	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
OG0001054	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
OG0001055	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
OG0001056	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
OG0001057	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
OG0001058	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
OG0001059	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
OG0001060	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
OG0001061	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
OG0001062	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
OG0001063	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
OG0001064	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
OG0001065	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
OG0001066	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
OG0001067	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
OG0001068	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
OG0001069	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
OG0001070	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
OG0001071	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
OG0001072	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
OG0001073	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
OG0001074	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
OG0001075	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
OG0001076	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
OG0001077	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
OG0001078	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
OG0001079	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
OG0001080	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
OG0001081	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
OG0001082	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
OG0001083	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
OG0001084	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
OG0001085	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
OG0001086	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
OG0001087	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
OG0001088	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
OG0001089	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
OG0001090	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
OG0001091	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
OG0001092	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
OG0001093	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
OG0001094	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
OG0001095	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
OG0001096	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
OG0001097	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
OG0001098	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
OG0001099	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
OG0001100	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
OG0001101	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
OG0001102	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
OG0001103	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
OG0001104	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
OG0001105	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
OG0001106	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
OG0001107	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
OG0001108	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
OG0001109	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
OG0001110	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
OG0001111	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
OG0001112	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
OG0001113	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
OG0001114	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
OG0001115	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
OG0001116	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
OG0001117	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
OG0001118	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
OG0001119	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
OG0001120	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
OG0001121	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
OG0001122	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
OG0001123	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
OG0001124	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
OG0001125	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
OG0001126	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
OG0001127	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
OG0001128	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
OG0001129	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
OG0001130	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
OG0001131	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
OG0001132	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
OG0001133	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
OG0001134	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
OG0001135	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
OG0001136	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
OG0001137	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
OG0001138	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
OG0001139	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
OG0001140	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
OG0001141	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
OG0001142	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1
OG0001143	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
OG0001144	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
OG0001145	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
OG0001146	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
OG0001147	1	1	1	1	1	1	1	1	1	1	1	2	2	1	1	1	1	1	1
OG0001148	1	2	1	2	1	1	1	1	1	1	1	0	1	1	1	1	1	2	2
OG0001149	0	1	2	1	0	1	0	2	0	1	1	0	1	2	1	3	0	0	1
OG0001150	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
OG0001151	2	0	2	2	2	1	1	1	0	1	2	2	0	1	1	0	2	2	2
OG0001152	0	2	1	0	0	0	0	0	0	0	0	1	0	0	0	3	2	2	1
OG0001153	1	0	1	3	1	1	1	1	1	1	1	0	1	1	1	1	0	1	2
OG0001154	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
OG0001155	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2
OG0001156	1	1	1	1	1	3	1	1	1	1	1	1	1	1	1	1	1	1	1
OG0001157	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
OG0001158	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
OG0001159	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
OG0001160	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
OG0001161	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
OG0001162	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
OG0001163	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
OG0001164	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
OG0001165	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
OG0001166	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
OG0001167	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
OG0001168	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
OG0001169	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
OG0001170	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
OG0001171	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
OG0001172	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
OG0001173	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
OG0001174	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
OG0001175	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
OG0001176	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
OG0001177	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
OG0001178	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
OG0001179	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
OG0001180	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
OG0001181	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
OG0001182	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
OG0001183	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
OG0001184	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
OG0001185	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
OG0001186	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
OG0001187	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
OG0001188	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
OG0001189	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
OG0001190	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
OG0001191	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1
OG0001192	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
OG0001193	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
OG0001194	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
OG0001195	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
OG0001196	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
OG0001197	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
OG0001198	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
OG0001199	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
OG0001200	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
OG0001201	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
OG0001202	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
OG0001203	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2
OG0001204	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
OG0001205	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
OG0001206	0	1	1	1	1	1	1	1	0	1	0	0	0	1	1	1	1	1	1
OG0001207	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
OG0001208	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
OG0001209	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
OG0001210	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
OG0001211	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1
OG0001212	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
OG0001213	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1
OG0001214	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
OG0001215	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
OG0001216	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
OG0001217	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
OG0001218	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
OG0001219	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
OG0001220	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
OG0001221	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
OG0001222	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
OG0001223	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
OG0001224	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
OG0001225	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
OG0001226	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
OG0001227	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
OG0001228	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
OG0001229	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
OG0001230	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
OG0001231	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
OG0001232	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
OG0001233	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
OG0001234	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
OG0001235	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
OG0001236	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
OG0001237	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
OG0001238	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
OG0001239	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
OG0001240	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
OG0001241	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
OG0001242	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
OG0001243	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
OG0001244	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
OG0001245	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
OG0001246	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
OG0001247	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
OG0001248	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
OG0001249	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
OG0001250	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
OG0001251	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
OG0001252	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
OG0001253	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
OG0001254	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
OG0001255	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
OG0001256	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
OG0001257	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
OG0001258	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
OG0001259	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
OG0001260	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
OG0001261	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
OG0001262	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
OG0001263	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
OG0001264	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
OG0001265	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
OG0001266	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
OG0001267	1	1	1	1	1	1	1	1	1	1	2	1	2	1	1	1	1	1	1
OG0001268	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1
OG0001269	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
OG0001270	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
OG0001271	1	1	1	1	1	1	1	1	1	1	1	2	1	1	2	1	1	2	1
OG0001272	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
OG0001273	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
OG0001274	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
OG0001275	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
OG0001276	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	1	0	2	1
OG0001277	1	1	1	1	0	0	1	0	0	0	0	1	0	0	1	1	1	1	1
OG0001278	0	0	1	2	0	0	0	1	1	0	1	0	1	1	0	0	0	2	1
OG0001279	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	3	1	1	1
OG0001280	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
OG0001281	4	0	2	2	0	0	0	0	0	0	0	1	0	0	2	5	2	1	1
OG0001282	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1
OG0001283	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
OG0001284	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
OG0001285	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
OG0001286	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
OG0001287	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1
OG0001288	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
OG0001289	1	1	1	1	0	0	1	0	0	0	0	1	0	0	1	1	1	1	1
OG0001290	1	1	1	1	1	1	1	1	0	1	0	2	0	1	1	2	1	2	2
OG0001291	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
OG0001292	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
OG0001293	1	1	2	2	0	0	1	0	0	0	0	1	0	0	1	1	1	1	1
OG0001294	1	1	1	1	1	1	0	1	1	1	1	1	1	1	0	1	1	1	1
OG0001295	1	1	1	1	1	1	0	1	1	1	1	1	1	1	0	1	1	1	1
OG0001296	1	2	0	1	0	0	1	0	0	0	0	1	0	0	2	1	1	1	1
OG0001297	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
OG0001298	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
OG0001299	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
OG0001300	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
OG0001301	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
OG0001302	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
OG0001303	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
OG0001304	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1
OG0001305	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
OG0001306	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
OG0001307	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
OG0001308	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
OG0001309	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
OG0001310	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
OG0001311	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
OG0001312	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
OG0001313	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
OG0001314	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
OG0001315	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
OG0001316	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
OG0001317	1	1	1	1	2	1	1	1	1	1	1	1	2	1	1	1	1	1	1
OG0001318	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
OG0001319	0	1	1	2	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1
OG0001320	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
OG0001321	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
OG0001322	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
OG0001323	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
OG0001324	1	1	1	1	0	0	1	0	0	0	0	1	0	0	1	1	1	1	1
OG0001325	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
OG0001326	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
OG0001327	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
OG0001328	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
OG0001329	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
