child	parent	OG	type	number
GNM565	node18	OG0001305	nochange	1	1
GNM565	node18	OG0001306	nochange	1	1
GNM565	node18	OG0001307	nochange	1	1
GNM565	node18	OG0001308	nochange	1	1
GNM565	node18	OG0001309	nochange	1	1
GNM565	node18	OG0001310	nochange	1	1
GNM565	node18	OG0001311	nochange	1	1
GNM565	node18	OG0001312	nochange	1	1
GNM565	node18	OG0001313	nochange	1	1
GNM565	node18	OG0001314	nochange	1	1
GNM565	node18	OG0001315	nochange	1	1
GNM565	node18	OG0001316	nochange	1	1
GNM565	node18	OG0001317	nochange	1	1
GNM565	node18	OG0001318	nochange	1	1
GNM565	node18	OG0001319	nochange	1	1
GNM565	node18	OG0001320	nochange	1	1
GNM565	node18	OG0001321	nochange	1	1
GNM565	node18	OG0001322	nochange	1	1
GNM565	node18	OG0001323	nochange	1	1
GNM565	node18	OG0001324	nochange	1	1
GNM565	node18	OG0001325	nochange	1	1
GNM565	node18	OG0001326	nochange	1	1
GNM565	node18	OG0001327	nochange	1	1
GNM565	node18	OG0001328	nochange	1	1
GNM565	node18	OG0001329	nochange	1	1
GNM565	node18	OG0001330	nochange	1	1
GNM565	node18	OG0001331	nochange	1	1
GNM565	node18	OG0001332	nochange	1	1
GNM565	node18	OG0001333	nochange	1	1
GNM565	node18	OG0001334	nochange	1	1
GNM565	node18	OG0001335	nochange	1	1
GNM565	node18	OG0001336	nochange	1	1
GNM565	node18	OG0001337	nochange	1	1
GNM565	node18	OG0001338	nochange	1	1
GNM565	node18	OG0001339	nochange	1	1
GNM565	node18	OG0001340	nochange	1	1
GNM565	node18	OG0001341	nochange	1	1
GNM565	node18	OG0001342	nochange	1	1
GNM565	node18	OG0001343	nochange	1	1
GNM565	node18	OG0001344	nochange	1	1
GNM565	node18	OG0001345	nochange	1	1
GNM565	node18	OG0001346	nochange	1	1
GNM565	node18	OG0001347	nochange	1	1
GNM565	node18	OG0001348	nochange	1	1
GNM565	node18	OG0001349	nochange	1	1
GNM565	node18	OG0001350	nochange	1	1
GNM565	node18	OG0001351	nochange	1	1
GNM565	node18	OG0001352	nochange	1	1
GNM565	node18	OG0001353	nochange	1	1
GNM565	node18	OG0001354	nochange	1	1
GNM565	node18	OG0001355	nochange	1	1
GNM565	node18	OG0001356	nochange	1	1
GNM565	node18	OG0001357	nochange	1	1
GNM565	node18	OG0001359	nochange	2	2
GNM565	node18	OG0001360	add	1	0
GNM565	node18	OG0001361	nochange	1	1
GNM565	node18	OG0001362	nochange	1	1
GNM565	node18	OG0001364	nochange	1	1
GNM565	node18	OG0001365	nochange	1	1
GNM565	node18	OG0001366	nochange	1	1
GNM565	node18	OG0001367	nochange	1	1
GNM565	node18	OG0001368	nochange	1	1
GNM565	node18	OG0001369	nochange	1	1
GNM565	node18	OG0001370	nochange	1	1
GNM565	node18	OG0001371	nochange	1	1
GNM565	node18	OG0001372	nochange	1	1
GNM565	node18	OG0001373	nochange	1	1
GNM565	node18	OG0001374	plus	2	1
GNM565	node18	OG0001375	nochange	1	1
GNM565	node18	OG0001376	nochange	1	1
GNM565	node18	OG0001377	nochange	1	1
GNM565	node18	OG0001378	nochange	1	1
GNM565	node18	OG0001379	nochange	1	1
GNM565	node18	OG0001380	nochange	1	1
GNM565	node18	OG0001381	nochange	1	1
GNM565	node18	OG0001382	nochange	1	1
GNM565	node18	OG0001383	nochange	1	1
GNM565	node18	OG0001384	nochange	1	1
GNM565	node18	OG0001385	nochange	1	1
GNM565	node18	OG0001386	nochange	1	1
GNM565	node18	OG0001387	nochange	1	1
GNM565	node18	OG0001388	plus	2	1
GNM565	node18	OG0001389	nochange	1	1
GNM565	node18	OG0001390	nochange	1	1
GNM565	node18	OG0001391	nochange	1	1
GNM565	node18	OG0001392	nochange	1	1
GNM565	node18	OG0001393	nochange	1	1
GNM565	node18	OG0001394	nochange	1	1
GNM565	node18	OG0001395	nochange	1	1
GNM565	node18	OG0001396	nochange	1	1
GNM565	node18	OG0001397	nochange	1	1
GNM565	node18	OG0001398	nochange	1	1
GNM565	node18	OG0001399	nochange	1	1
GNM565	node18	OG0001400	nochange	1	1
GNM565	node18	OG0001401	nochange	1	1
GNM565	node18	OG0001402	nochange	1	1
GNM565	node18	OG0001403	nochange	1	1
GNM565	node18	OG0001404	nochange	1	1
GNM565	node18	OG0001405	nochange	1	1
GNM565	node18	OG0001406	nochange	1	1
GNM565	node18	OG0001407	nochange	1	1
GNM565	node18	OG0001408	nochange	1	1
GNM565	node18	OG0001409	nochange	1	1
GNM565	node18	OG0001410	nochange	1	1
GNM565	node18	OG0001411	nochange	1	1
GNM565	node18	OG0001412	nochange	1	1
GNM565	node18	OG0001413	nochange	1	1
GNM565	node18	OG0001414	nochange	1	1
GNM565	node18	OG0001415	nochange	1	1
GNM565	node18	OG0001416	nochange	1	1
GNM565	node18	OG0001417	nochange	1	1
GNM565	node18	OG0001418	nochange	1	1
GNM565	node18	OG0001419	nochange	1	1
GNM565	node18	OG0001420	nochange	1	1
GNM565	node18	OG0001421	nochange	1	1
GNM565	node18	OG0001422	nochange	1	1
GNM565	node18	OG0001423	nochange	1	1
GNM565	node18	OG0001424	nochange	1	1
GNM565	node18	OG0001425	nochange	1	1
GNM565	node18	OG0001426	nochange	1	1
GNM565	node18	OG0001427	nochange	1	1
GNM565	node18	OG0001428	nochange	1	1
GNM565	node18	OG0001429	nochange	1	1
GNM565	node18	OG0001430	nochange	1	1
GNM565	node18	OG0001431	nochange	1	1
GNM565	node18	OG0001432	nochange	1	1
GNM565	node18	OG0001433	plus	2	1
GNM565	node18	OG0001434	plus	2	1
GNM565	node18	OG0001435	nochange	1	1
GNM565	node18	OG0001436	nochange	1	1
GNM565	node18	OG0001437	nochange	1	1
GNM565	node18	OG0001438	nochange	1	1
GNM565	node18	OG0001439	nochange	1	1
GNM565	node18	OG0001440	nochange	1	1
GNM565	node18	OG0001441	nochange	1	1
GNM565	node18	OG0001442	nochange	1	1
GNM565	node18	OG0001443	nochange	1	1
GNM565	node18	OG0001444	nochange	1	1
GNM565	node18	OG0001445	nochange	1	1
GNM565	node18	OG0001446	nochange	1	1
GNM565	node18	OG0001447	nochange	1	1
GNM565	node18	OG0001448	nochange	1	1
GNM565	node18	OG0001449	nochange	1	1
GNM565	node18	OG0001450	nochange	1	1
GNM565	node18	OG0001451	nochange	1	1
GNM565	node18	OG0001452	nochange	1	1
GNM565	node18	OG0001453	nochange	1	1
GNM565	node18	OG0001454	nochange	1	1
GNM565	node18	OG0001455	nochange	1	1
GNM565	node18	OG0001456	nochange	1	1
GNM565	node18	OG0001457	nochange	1	1
GNM565	node18	OG0001458	nochange	1	1
GNM565	node18	OG0001459	nochange	1	1
GNM565	node18	OG0001460	nochange	1	1
GNM565	node18	OG0001461	nochange	1	1
GNM565	node18	OG0001462	nochange	1	1
GNM565	node18	OG0001463	nochange	1	1
GNM565	node18	OG0001464	nochange	1	1
GNM565	node18	OG0001465	nochange	1	1
GNM565	node18	OG0001466	nochange	1	1
GNM565	node18	OG0001467	nochange	1	1
GNM565	node18	OG0001468	nochange	1	1
GNM565	node18	OG0001469	nochange	1	1
GNM565	node18	OG0001470	nochange	1	1
GNM565	node18	OG0001471	nochange	1	1
GNM565	node18	OG0001473	nochange	1	1
GNM565	node18	OG0001474	nochange	1	1
GNM565	node18	OG0001475	plus	2	1
GNM565	node18	OG0001476	plus	2	1
GNM565	node18	OG0001477	plus	2	1
GNM565	node18	OG0001478	nochange	1	1
GNM565	node18	OG0001479	add	2	0
GNM565	node18	OG0001480	nochange	1	1
GNM565	node18	OG0001481	nochange	1	1
GNM565	node18	OG0001482	nochange	1	1
GNM565	node18	OG0001484	nochange	1	1
GNM565	node18	OG0001485	nochange	1	1
GNM565	node18	OG0001486	nochange	1	1
GNM565	node18	OG0001487	nochange	1	1
GNM565	node18	OG0001488	nochange	1	1
GNM565	node18	OG0001489	nochange	1	1
GNM565	node18	OG0001490	nochange	1	1
GNM565	node18	OG0001491	nochange	1	1
GNM565	node18	OG0001492	nochange	1	1
GNM565	node18	OG0001493	nochange	1	1
GNM565	node18	OG0001494	nochange	1	1
GNM565	node18	OG0001495	nochange	1	1
GNM565	node18	OG0001496	nochange	1	1
GNM565	node18	OG0001497	nochange	1	1
GNM565	node18	OG0001498	nochange	1	1
GNM565	node18	OG0001499	nochange	1	1
GNM565	node18	OG0001500	nochange	1	1
GNM565	node18	OG0001501	nochange	1	1
GNM565	node18	OG0001502	nochange	1	1
GNM565	node18	OG0001504	nochange	1	1
GNM565	node18	OG0001505	nochange	1	1
GNM565	node18	OG0001506	nochange	1	1
GNM565	node18	OG0001507	nochange	1	1
GNM565	node18	OG0001508	nochange	1	1
GNM565	node18	OG0001509	nochange	1	1
GNM565	node18	OG0001510	nochange	1	1
GNM565	node18	OG0001511	nochange	1	1
GNM565	node18	OG0001512	nochange	1	1
GNM565	node18	OG0001513	nochange	1	1
GNM565	node18	OG0001514	nochange	1	1
GNM565	node18	OG0001515	nochange	1	1
GNM565	node18	OG0001516	nochange	1	1
GNM565	node18	OG0001517	nochange	1	1
GNM565	node18	OG0001519	nochange	1	1
GNM565	node18	OG0001520	plus	2	1
GNM565	node18	OG0001522	nochange	2	2
GNM565	node18	OG0001523	nochange	1	1
GNM565	node18	OG0001525	nochange	1	1
GNM565	node18	OG0001526	nochange	1	1
GNM565	node18	OG0001527	nochange	1	1
GNM565	node18	OG0001528	nochange	1	1
GNM565	node18	OG0001529	nochange	1	1
GNM565	node18	OG0001530	nochange	1	1
GNM565	node18	OG0001531	nochange	1	1
GNM565	node18	OG0001532	nochange	1	1
GNM565	node18	OG0001533	nochange	1	1
GNM565	node18	OG0001534	nochange	1	1
GNM565	node18	OG0001536	nochange	1	1
GNM565	node18	OG0001537	nochange	1	1
GNM565	node18	OG0001538	nochange	1	1
GNM565	node18	OG0001539	nochange	1	1
GNM565	node18	OG0001540	nochange	1	1
GNM565	node18	OG0001541	nochange	1	1
GNM565	node18	OG0001542	nochange	1	1
GNM565	node18	OG0001543	nochange	1	1
GNM565	node18	OG0001544	nochange	1	1
GNM565	node18	OG0001545	nochange	1	1
GNM565	node18	OG0001546	nochange	1	1
GNM565	node18	OG0001547	nochange	1	1
GNM565	node18	OG0001548	nochange	1	1
GNM565	node18	OG0001549	nochange	1	1
GNM565	node18	OG0001550	nochange	2	2
GNM565	node18	OG0001551	nochange	1	1
GNM565	node18	OG0001552	nochange	1	1
GNM565	node18	OG0001553	nochange	1	1
GNM565	node18	OG0001554	nochange	1	1
GNM565	node18	OG0001555	nochange	1	1
GNM565	node18	OG0001556	nochange	1	1
GNM565	node18	OG0001557	nochange	1	1
GNM565	node18	OG0001558	nochange	1	1
GNM565	node18	OG0001559	nochange	1	1
GNM565	node18	OG0001560	nochange	1	1
GNM565	node18	OG0001561	nochange	1	1
GNM565	node18	OG0001562	nochange	1	1
GNM565	node18	OG0001563	nochange	1	1
GNM565	node18	OG0001564	plus	2	1
GNM565	node18	OG0001565	nochange	1	1
GNM565	node18	OG0001566	nochange	1	1
GNM565	node18	OG0001567	nochange	1	1
GNM565	node18	OG0001568	plus	2	1
GNM565	node18	OG0001569	nochange	1	1
GNM565	node18	OG0001570	nochange	1	1
GNM565	node18	OG0001571	nochange	1	1
GNM565	node18	OG0001572	nochange	1	1
GNM565	node18	OG0001573	plus	2	1
GNM565	node18	OG0001574	nochange	1	1
GNM565	node18	OG0001575	nochange	1	1
GNM565	node18	OG0001576	nochange	1	1
GNM565	node18	OG0001577	nochange	1	1
GNM565	node18	OG0001578	nochange	1	1
GNM565	node18	OG0001579	nochange	1	1
GNM565	node18	OG0001580	nochange	1	1
GNM565	node18	OG0001581	nochange	1	1
GNM565	node18	OG0001582	nochange	1	1
GNM565	node18	OG0001583	nochange	1	1
GNM565	node18	OG0001584	nochange	1	1
GNM565	node18	OG0001585	nochange	1	1
GNM565	node18	OG0001586	nochange	1	1
GNM565	node18	OG0001587	nochange	1	1
GNM565	node18	OG0001588	plus	4	1
GNM565	node18	OG0001589	nochange	1	1
GNM565	node18	OG0001590	nochange	1	1
GNM565	node18	OG0001591	nochange	1	1
GNM565	node18	OG0001592	nochange	1	1
GNM565	node18	OG0001593	nochange	1	1
GNM565	node18	OG0001594	nochange	1	1
GNM565	node18	OG0001595	nochange	1	1
GNM565	node18	OG0001596	nochange	1	1
GNM565	node18	OG0001597	nochange	1	1
GNM565	node18	OG0001598	nochange	1	1
GNM565	node18	OG0001599	nochange	1	1
GNM565	node18	OG0001600	nochange	1	1
GNM565	node18	OG0001601	nochange	1	1
GNM565	node18	OG0001602	nochange	1	1
GNM565	node18	OG0001603	nochange	1	1
GNM565	node18	OG0001604	nochange	1	1
GNM565	node18	OG0001605	nochange	1	1
GNM565	node18	OG0001608	plus	2	1
GNM565	node18	OG0001609	plus	2	1
GNM565	node18	OG0001610	plus	2	1
GNM565	node18	OG0001611	plus	2	1
GNM565	node18	OG0001612	plus	2	1
GNM565	node18	OG0001613	nochange	1	1
GNM565	node18	OG0001614	nochange	1	1
GNM565	node18	OG0001616	nochange	1	1
GNM565	node18	OG0001617	nochange	1	1
GNM565	node18	OG0001618	nochange	1	1
GNM565	node18	OG0001620	nochange	1	1
GNM565	node18	OG0001621	nochange	1	1
GNM565	node18	OG0001622	nochange	1	1
GNM565	node18	OG0001623	nochange	1	1
GNM565	node18	OG0001624	nochange	1	1
GNM565	node18	OG0001625	nochange	1	1
GNM565	node18	OG0001626	nochange	1	1
GNM565	node18	OG0001627	nochange	1	1
GNM565	node18	OG0001628	nochange	1	1
GNM565	node18	OG0001629	nochange	2	2
GNM565	node18	OG0001630	nochange	1	1
GNM565	node18	OG0001631	nochange	1	1
GNM565	node18	OG0001632	nochange	1	1
GNM565	node18	OG0001633	nochange	1	1
GNM565	node18	OG0001634	nochange	1	1
GNM565	node18	OG0001635	plus	2	1
GNM565	node18	OG0001636	nochange	1	1
GNM565	node18	OG0001637	nochange	1	1
GNM565	node18	OG0001638	nochange	1	1
GNM565	node18	OG0001639	del	0	1
GNM565	node18	OG0001640	nochange	1	1
GNM565	node18	OG0001642	nochange	1	1
GNM565	node18	OG0001643	nochange	1	1
GNM565	node18	OG0001644	nochange	1	1
GNM565	node18	OG0001645	nochange	1	1
GNM565	node18	OG0001646	nochange	1	1
GNM565	node18	OG0001647	nochange	1	1
GNM565	node18	OG0001648	nochange	1	1
GNM565	node18	OG0001649	nochange	1	1
GNM565	node18	OG0001650	nochange	1	1
GNM565	node18	OG0001651	plus	2	1
GNM565	node18	OG0001652	nochange	1	1
GNM565	node18	OG0001653	del	0	2
GNM565	node18	OG0001654	nochange	1	1
GNM565	node18	OG0001655	plus	2	1
GNM565	node18	OG0001657	add	2	0
GNM565	node18	OG0001659	nochange	1	1
GNM565	node18	OG0001660	nochange	1	1
GNM565	node18	OG0001663	nochange	1	1
GNM565	node18	OG0001665	nochange	1	1
GNM565	node18	OG0001666	nochange	1	1
GNM565	node18	OG0001667	nochange	1	1
GNM565	node18	OG0001668	nochange	1	1
GNM565	node18	OG0001669	nochange	1	1
GNM565	node18	OG0001670	nochange	1	1
GNM565	node18	OG0001671	nochange	1	1
GNM565	node18	OG0001672	nochange	1	1
GNM565	node18	OG0001673	nochange	1	1
GNM565	node18	OG0001674	nochange	1	1
GNM565	node18	OG0001676	nochange	1	1
GNM565	node18	OG0001677	nochange	1	1
GNM565	node18	OG0001678	nochange	1	1
GNM565	node18	OG0001679	nochange	1	1
GNM565	node18	OG0001680	nochange	1	1
GNM565	node18	OG0001681	nochange	1	1
GNM565	node18	OG0001682	nochange	1	1
GNM565	node18	OG0001683	nochange	1	1
GNM565	node18	OG0001684	nochange	1	1
GNM565	node18	OG0001685	nochange	1	1
GNM565	node18	OG0001687	nochange	1	1
GNM565	node18	OG0001688	nochange	1	1
GNM565	node18	OG0001689	nochange	1	1
GNM565	node18	OG0001690	nochange	1	1
GNM565	node18	OG0001691	nochange	1	1
GNM565	node18	OG0001693	nochange	1	1
GNM565	node18	OG0001694	nochange	1	1
GNM565	node18	OG0001695	nochange	1	1
GNM565	node18	OG0001697	nochange	1	1
GNM565	node18	OG0001700	nochange	1	1
GNM565	node18	OG0001701	nochange	1	1
GNM565	node18	OG0001702	nochange	1	1
GNM565	node18	OG0001703	nochange	1	1
GNM565	node18	OG0001704	plus	2	1
GNM565	node18	OG0001706	nochange	1	1
GNM565	node18	OG0001707	nochange	1	1
GNM565	node18	OG0001708	nochange	1	1
GNM565	node18	OG0001709	nochange	1	1
GNM565	node18	OG0001710	nochange	1	1
GNM565	node18	OG0001711	nochange	1	1
GNM565	node18	OG0001712	nochange	1	1
GNM565	node18	OG0001713	nochange	1	1
GNM565	node18	OG0001714	nochange	1	1
GNM565	node18	OG0001715	nochange	1	1
GNM565	node18	OG0001717	nochange	1	1
GNM565	node18	OG0001718	nochange	1	1
GNM565	node18	OG0001719	nochange	1	1
GNM565	node18	OG0001720	nochange	1	1
GNM565	node18	OG0001721	nochange	1	1
GNM565	node18	OG0001722	nochange	1	1
GNM565	node18	OG0001723	nochange	1	1
GNM565	node18	OG0001724	nochange	1	1
GNM565	node18	OG0001725	nochange	1	1
GNM565	node18	OG0001726	nochange	1	1
GNM565	node18	OG0001727	nochange	1	1
GNM565	node18	OG0001728	nochange	1	1
GNM565	node18	OG0001730	nochange	1	1
GNM565	node18	OG0001731	add	1	0
GNM565	node18	OG0001732	nochange	1	1
GNM565	node18	OG0001734	nochange	1	1
GNM565	node18	OG0001736	nochange	1	1
GNM565	node18	OG0001738	nochange	1	1
GNM565	node18	OG0001739	nochange	2	2
GNM565	node18	OG0001740	nochange	1	1
GNM565	node18	OG0001742	nochange	1	1
GNM565	node18	OG0001743	nochange	1	1
GNM565	node18	OG0001744	nochange	1	1
GNM565	node18	OG0001745	nochange	1	1
GNM565	node18	OG0001746	nochange	1	1
GNM565	node18	OG0001747	nochange	1	1
GNM565	node18	OG0001748	nochange	1	1
GNM565	node18	OG0001749	nochange	1	1
GNM565	node18	OG0001750	nochange	1	1
GNM565	node18	OG0001751	nochange	1	1
GNM565	node18	OG0001752	nochange	1	1
GNM565	node18	OG0001753	nochange	1	1
GNM565	node18	OG0001755	nochange	1	1
GNM565	node18	OG0001756	add	1	0
GNM565	node18	OG0001757	add	1	0
GNM565	node18	OG0001758	add	2	0
GNM565	node18	OG0001759	add	3	0
GNM565	node18	OG0001760	nochange	1	1
GNM565	node18	OG0001761	nochange	1	1
GNM565	node18	OG0001763	nochange	1	1
GNM565	node18	OG0001764	nochange	1	1
GNM565	node18	OG0001765	nochange	1	1
GNM565	node18	OG0001766	nochange	1	1
GNM565	node18	OG0001767	nochange	1	1
GNM565	node18	OG0001768	nochange	1	1
GNM565	node18	OG0001769	plus	2	1
GNM565	node18	OG0001770	nochange	2	2
GNM565	node18	OG0001771	nochange	1	1
GNM565	node18	OG0001772	nochange	1	1
GNM565	node18	OG0001773	nochange	1	1
GNM565	node18	OG0001774	add	1	0
GNM565	node18	OG0001775	nochange	1	1
GNM565	node18	OG0001777	nochange	1	1
GNM565	node18	OG0001778	nochange	1	1
GNM565	node18	OG0001779	nochange	1	1
GNM565	node18	OG0001781	nochange	1	1
GNM565	node18	OG0001782	nochange	1	1
GNM565	node18	OG0001784	nochange	1	1
GNM565	node18	OG0001786	nochange	1	1
GNM565	node18	OG0001787	nochange	1	1
GNM565	node18	OG0001788	nochange	1	1
GNM565	node18	OG0001789	nochange	1	1
GNM565	node18	OG0001790	nochange	1	1
GNM565	node18	OG0001791	nochange	1	1
GNM565	node18	OG0001792	nochange	1	1
GNM565	node18	OG0001793	nochange	1	1
GNM565	node18	OG0001794	nochange	1	1
GNM565	node18	OG0001795	nochange	1	1
GNM565	node18	OG0001796	nochange	1	1
GNM565	node18	OG0001797	nochange	1	1
GNM565	node18	OG0001798	nochange	1	1
GNM565	node18	OG0001799	nochange	1	1
GNM565	node18	OG0001800	nochange	1	1
GNM565	node18	OG0001801	nochange	1	1
GNM565	node18	OG0001802	nochange	1	1
GNM565	node18	OG0001803	nochange	1	1
GNM565	node18	OG0001804	nochange	2	2
GNM565	node18	OG0001806	nochange	1	1
GNM565	node18	OG0001807	nochange	1	1
GNM565	node18	OG0001808	nochange	1	1
GNM565	node18	OG0001809	nochange	1	1
GNM565	node18	OG0001811	nochange	1	1
GNM565	node18	OG0001812	nochange	1	1
GNM565	node18	OG0001813	nochange	1	1
GNM565	node18	OG0001814	nochange	1	1
GNM565	node18	OG0001815	plus	4	1
GNM565	node18	OG0001816	nochange	1	1
GNM565	node18	OG0001817	nochange	1	1
GNM565	node18	OG0001818	add	1	0
GNM565	node18	OG0001819	add	1	0
GNM565	node18	OG0001820	nochange	1	1
GNM565	node18	OG0001821	nochange	1	1
GNM565	node18	OG0001822	nochange	1	1
GNM565	node18	OG0001823	nochange	1	1
GNM565	node18	OG0001824	nochange	1	1
GNM565	node18	OG0001825	nochange	1	1
GNM565	node18	OG0001826	nochange	1	1
GNM565	node18	OG0001827	nochange	1	1
GNM565	node18	OG0001828	nochange	1	1
GNM565	node18	OG0001829	nochange	1	1
GNM565	node18	OG0001830	nochange	1	1
GNM565	node18	OG0001831	nochange	1	1
GNM565	node18	OG0001832	nochange	1	1
GNM565	node18	OG0001833	nochange	1	1
GNM565	node18	OG0001834	add	2	0
GNM565	node18	OG0001835	nochange	1	1
GNM565	node18	OG0001836	nochange	1	1
GNM565	node18	OG0001837	nochange	1	1
GNM565	node18	OG0001838	nochange	1	1
GNM565	node18	OG0001839	nochange	1	1
GNM565	node18	OG0001840	nochange	1	1
GNM565	node18	OG0001842	nochange	1	1
GNM565	node18	OG0001845	nochange	1	1
GNM565	node18	OG0001847	nochange	1	1
GNM565	node18	OG0001848	nochange	1	1
GNM565	node18	OG0001850	nochange	1	1
GNM565	node18	OG0001851	nochange	2	2
GNM565	node18	OG0001852	nochange	1	1
GNM565	node18	OG0001853	nochange	1	1
GNM565	node18	OG0001854	nochange	1	1
GNM565	node18	OG0001855	nochange	1	1
GNM565	node18	OG0001856	nochange	1	1
GNM565	node18	OG0001857	nochange	3	3
GNM565	node18	OG0001858	nochange	1	1
GNM565	node18	OG0001860	add	2	0
GNM565	node18	OG0001861	add	2	0
GNM565	node18	OG0001862	nochange	1	1
GNM565	node18	OG0001863	nochange	1	1
GNM565	node18	OG0001864	nochange	1	1
GNM565	node18	OG0001865	nochange	1	1
GNM565	node18	OG0001869	nochange	1	1
GNM565	node18	OG0001870	nochange	1	1
GNM565	node18	OG0001871	nochange	1	1
GNM565	node18	OG0001872	nochange	1	1
GNM565	node18	OG0001873	nochange	1	1
GNM565	node18	OG0001874	nochange	1	1
GNM565	node18	OG0001875	nochange	1	1
GNM565	node18	OG0001876	nochange	1	1
GNM565	node18	OG0001877	nochange	1	1
GNM565	node18	OG0001878	plus	2	1
GNM565	node18	OG0001879	nochange	1	1
GNM565	node18	OG0001880	nochange	1	1
GNM565	node18	OG0001881	nochange	1	1
GNM565	node18	OG0001883	nochange	1	1
GNM565	node18	OG0001884	add	1	0
GNM565	node18	OG0001885	nochange	1	1
GNM565	node18	OG0001886	nochange	1	1
GNM565	node18	OG0001887	nochange	1	1
GNM565	node18	OG0001888	nochange	1	1
GNM565	node18	OG0001889	add	1	0
GNM565	node18	OG0001894	nochange	1	1
GNM565	node18	OG0001895	nochange	1	1
GNM565	node18	OG0001896	nochange	1	1
GNM565	node18	OG0001897	nochange	1	1
GNM565	node18	OG0001899	nochange	1	1
GNM565	node18	OG0001900	nochange	1	1
GNM565	node18	OG0001901	nochange	1	1
GNM565	node18	OG0001902	nochange	1	1
GNM565	node18	OG0001903	nochange	1	1
GNM565	node18	OG0001904	nochange	1	1
GNM565	node18	OG0001905	nochange	1	1
GNM565	node18	OG0001907	plus	2	1
GNM565	node18	OG0001908	nochange	1	1
GNM565	node18	OG0001909	nochange	1	1
GNM565	node18	OG0001910	nochange	1	1
GNM565	node18	OG0001911	nochange	1	1
GNM565	node18	OG0001912	nochange	1	1
GNM565	node18	OG0001913	nochange	1	1
GNM565	node18	OG0001915	nochange	1	1
GNM565	node18	OG0001916	nochange	1	1
GNM565	node18	OG0001917	nochange	1	1
GNM565	node18	OG0001918	nochange	1	1
GNM565	node18	OG0001919	nochange	1	1
GNM565	node18	OG0001920	nochange	1	1
GNM565	node18	OG0001921	nochange	1	1
GNM565	node18	OG0001922	add	2	0
GNM565	node18	OG0001923	nochange	1	1
GNM565	node18	OG0001924	nochange	1	1
GNM565	node18	OG0001925	nochange	1	1
GNM565	node18	OG0001926	nochange	1	1
GNM565	node18	OG0001927	nochange	1	1
GNM565	node18	OG0001928	nochange	1	1
GNM565	node18	OG0001929	nochange	1	1
GNM565	node18	OG0001930	nochange	1	1
GNM565	node18	OG0001931	nochange	1	1
GNM565	node18	OG0001932	nochange	1	1
GNM565	node18	OG0001933	nochange	1	1
GNM565	node18	OG0001934	nochange	1	1
GNM565	node18	OG0001935	nochange	1	1
GNM565	node18	OG0001936	nochange	1	1
GNM565	node18	OG0001937	nochange	1	1
GNM565	node18	OG0001938	nochange	1	1
GNM565	node18	OG0001939	nochange	1	1
GNM565	node18	OG0001940	nochange	1	1
GNM565	node18	OG0001941	nochange	1	1
GNM565	node18	OG0001942	nochange	1	1
GNM565	node18	OG0001943	nochange	1	1
GNM565	node18	OG0001945	nochange	1	1
GNM565	node18	OG0001946	nochange	1	1
GNM565	node18	OG0001947	nochange	1	1
GNM565	node18	OG0001948	nochange	1	1
GNM565	node18	OG0001949	nochange	1	1
GNM565	node18	OG0001950	nochange	1	1
GNM565	node18	OG0001952	nochange	1	1
GNM565	node18	OG0001953	nochange	1	1
GNM565	node18	OG0001954	nochange	1	1
GNM565	node18	OG0001955	nochange	1	1
GNM565	node18	OG0001956	nochange	1	1
GNM565	node18	OG0001957	nochange	1	1
GNM565	node18	OG0001958	nochange	1	1
GNM565	node18	OG0001959	nochange	1	1
GNM565	node18	OG0001960	nochange	1	1
GNM565	node18	OG0001961	nochange	1	1
GNM565	node18	OG0001962	nochange	1	1
GNM565	node18	OG0001963	nochange	1	1
GNM565	node18	OG0001964	nochange	1	1
GNM565	node18	OG0001965	nochange	1	1
GNM565	node18	OG0001966	nochange	1	1
GNM565	node18	OG0001967	nochange	1	1
GNM565	node18	OG0001968	del	0	1
GNM565	node18	OG0001970	nochange	1	1
GNM565	node18	OG0001971	nochange	1	1
GNM565	node18	OG0001972	nochange	1	1
GNM565	node18	OG0001973	nochange	1	1
GNM565	node18	OG0001974	nochange	1	1
GNM565	node18	OG0001975	del	0	1
GNM565	node18	OG0001976	plus	3	1
GNM565	node18	OG0001977	nochange	1	1
GNM565	node18	OG0001978	plus	2	1
GNM565	node18	OG0001979	nochange	1	1
GNM565	node18	OG0001980	nochange	1	1
GNM565	node18	OG0001981	add	3	0
GNM565	node18	OG0001982	nochange	1	1
GNM565	node18	OG0001983	nochange	1	1
GNM565	node18	OG0001984	nochange	1	1
GNM565	node18	OG0001985	nochange	1	1
GNM565	node18	OG0001987	nochange	1	1
GNM565	node18	OG0001988	nochange	1	1
GNM565	node18	OG0001989	add	1	0
GNM565	node18	OG0001990	nochange	1	1
GNM565	node18	OG0001993	add	1	0
GNM565	node18	OG0001994	add	1	0
GNM565	node18	OG0001996	nochange	1	1
GNM565	node18	OG0001997	nochange	1	1
GNM565	node18	OG0001999	nochange	1	1
GNM565	node18	OG0002000	nochange	1	1
GNM565	node18	OG0002001	nochange	1	1
GNM565	node18	OG0002002	nochange	1	1
GNM565	node18	OG0002003	nochange	1	1
GNM565	node18	OG0002004	nochange	1	1
GNM565	node18	OG0002006	nochange	1	1
GNM565	node18	OG0002007	nochange	1	1
GNM565	node18	OG0002008	nochange	1	1
GNM565	node18	OG0002009	nochange	1	1
